Buying ,main,doors,persons,bot,safe,class
5,4,6,3,2,2,unacc
5,4,6,3,2,3,unacc
5,4,6,3,3,1,unacc
5,4,6,3,3,2,unacc
5,4,6,3,3,3,unacc
5,3,2,2,1,1,unacc
5,3,2,2,1,2,unacc
5,3,2,2,1,3,unacc
5,3,2,2,2,1,unacc
5,3,2,2,2,2,unacc
5,3,2,2,2,3,unacc
5,3,2,2,3,1,unacc
5,3,2,2,3,2,unacc
5,3,2,2,3,3,unacc
5,3,2,4,1,1,unacc
5,3,2,4,1,2,unacc
5,3,2,4,1,3,unacc
5,3,2,4,2,1,unacc
5,3,2,4,2,2,unacc
5,3,2,4,2,3,unacc
5,3,2,4,3,1,unacc
5,3,2,4,3,2,unacc
5,3,2,4,3,3,unacc
5,3,2,3,1,1,unacc
5,3,2,3,1,2,unacc
5,3,2,3,1,3,unacc
5,3,2,3,2,1,unacc
5,3,2,3,2,2,unacc
5,3,2,3,2,3,unacc
5,3,2,3,3,1,unacc
5,3,2,3,3,2,unacc
5,3,2,3,3,3,unacc
5,3,3,2,1,1,unacc
5,3,3,2,1,2,unacc
5,3,3,2,1,3,unacc
5,3,3,2,2,1,unacc
5,3,3,2,2,2,unacc
5,3,3,2,2,3,unacc
5,3,3,2,3,1,unacc
5,3,3,2,3,2,unacc
5,3,3,2,3,3,unacc
5,3,3,4,1,1,unacc
5,3,3,4,1,2,unacc
5,3,3,4,1,3,unacc
5,3,3,4,2,1,unacc
5,3,3,4,2,2,unacc
5,3,3,4,2,3,unacc
5,3,3,4,3,1,unacc
5,3,3,4,3,2,unacc
5,3,3,4,3,3,unacc
5,3,3,3,1,1,unacc
5,3,3,3,1,2,unacc
5,3,3,3,1,3,unacc
5,3,3,3,2,1,unacc
5,3,3,3,2,2,unacc
5,3,3,3,2,3,unacc
5,3,3,3,3,1,unacc
5,3,3,3,3,2,unacc
5,3,3,3,3,3,unacc
5,3,4,2,1,1,unacc
5,3,4,2,1,2,unacc
5,3,4,2,1,3,unacc
5,3,4,2,2,1,unacc
5,3,4,2,2,2,unacc
5,3,4,2,2,3,unacc
5,3,4,2,3,1,unacc
5,3,4,2,3,2,unacc
5,3,4,2,3,3,unacc
5,3,4,4,1,1,unacc
5,3,4,4,1,2,unacc
5,3,4,4,1,3,unacc
5,3,4,4,2,1,unacc
5,3,4,4,2,2,unacc
5,3,4,4,2,3,unacc
5,3,4,4,3,1,unacc
5,3,4,4,3,2,unacc
5,3,4,4,3,3,unacc
5,3,4,3,1,1,unacc
5,3,4,3,1,2,unacc
5,3,4,3,1,3,unacc
5,3,4,3,2,1,unacc
5,3,4,3,2,2,unacc
5,3,4,3,2,3,unacc
5,3,4,3,3,1,unacc
5,3,4,3,3,2,unacc
5,3,4,3,3,3,unacc
5,3,6,2,1,1,unacc
5,3,6,2,1,2,unacc
5,3,6,2,1,3,unacc
5,3,6,2,2,1,unacc
5,3,6,2,2,2,unacc
5,3,6,2,2,3,unacc
5,3,6,2,3,1,unacc
5,3,6,2,3,2,unacc
5,3,6,2,3,3,unacc
5,3,6,4,1,1,unacc
5,3,6,4,1,2,unacc
5,3,6,4,1,3,unacc
5,3,6,4,2,1,unacc
5,3,6,4,2,2,unacc
5,3,6,4,2,3,unacc
5,3,6,4,3,1,unacc
5,3,6,4,3,2,unacc
5,3,6,4,3,3,unacc
5,3,6,3,1,1,unacc
5,3,6,3,1,2,unacc
5,3,6,3,1,3,unacc
5,3,6,3,2,1,unacc
5,3,6,3,2,2,unacc
5,3,6,3,2,3,unacc
5,3,6,3,3,1,unacc
5,3,6,3,3,2,unacc
5,3,6,3,3,3,unacc
5,2,2,2,1,1,unacc
5,2,2,2,1,2,unacc
5,2,2,2,1,3,unacc
5,2,2,2,2,1,unacc
5,2,2,2,2,2,unacc
5,2,2,2,2,3,unacc
5,2,2,2,3,1,unacc
5,2,2,2,3,2,unacc
5,2,2,2,3,3,unacc
5,2,2,4,1,1,unacc
5,2,2,4,1,2,unacc
5,2,2,4,1,3,acc
5,2,2,4,2,1,unacc
5,2,2,4,2,2,unacc
5,2,2,4,2,3,acc
5,2,2,4,3,1,unacc
5,2,2,4,3,2,acc
5,2,2,4,3,3,acc
5,2,2,3,1,1,unacc
5,2,2,3,1,2,unacc
5,2,2,3,1,3,unacc
5,2,2,3,2,1,unacc
5,2,2,3,2,2,unacc
5,2,2,3,2,3,acc
5,2,2,3,3,1,unacc
5,2,2,3,3,2,acc
5,2,2,3,3,3,acc
5,2,3,2,1,1,unacc
5,2,3,2,1,2,unacc
5,2,3,2,1,3,unacc
5,2,3,2,2,1,unacc
5,2,3,2,2,2,unacc
5,2,3,2,2,3,unacc
5,2,3,2,3,1,unacc
5,2,3,2,3,2,unacc
5,2,3,2,3,3,unacc
5,2,3,4,1,1,unacc
5,2,3,4,1,2,unacc
5,2,3,4,1,3,acc
5,2,3,4,2,1,unacc
5,2,3,4,2,2,unacc
5,2,3,4,2,3,acc
5,2,3,4,3,1,unacc
5,2,3,4,3,2,acc
5,2,3,4,3,3,acc
5,2,3,3,1,1,unacc
5,2,3,3,1,2,unacc
5,2,3,3,1,3,acc
5,2,3,3,2,1,unacc
5,2,3,3,2,2,acc
5,2,3,3,2,3,acc
5,2,3,3,3,1,unacc
5,2,3,3,3,2,acc
5,2,3,3,3,3,acc
5,2,4,2,1,1,unacc
5,2,4,2,1,2,unacc
5,2,4,2,1,3,unacc
5,2,4,2,2,1,unacc
5,2,4,2,2,2,unacc
5,2,4,2,2,3,unacc
5,2,4,2,3,1,unacc
5,2,4,2,3,2,unacc
5,2,4,2,3,3,unacc
5,2,4,4,1,1,unacc
5,2,4,4,1,2,unacc
5,2,4,4,1,3,acc
5,2,4,4,2,1,unacc
5,2,4,4,2,2,acc
5,2,4,4,2,3,acc
5,2,4,4,3,1,unacc
5,2,4,4,3,2,acc
5,2,4,4,3,3,acc
5,2,4,3,1,1,unacc
5,2,4,3,1,2,unacc
5,2,4,3,1,3,acc
5,2,4,3,2,1,unacc
5,2,4,3,2,2,acc
5,2,4,3,2,3,acc
5,2,4,3,3,1,unacc
5,2,4,3,3,2,acc
5,2,4,3,3,3,acc
5,2,6,2,1,1,unacc
5,2,6,2,1,2,unacc
5,2,6,2,1,3,unacc
5,2,6,2,2,1,unacc
5,2,6,2,2,2,unacc
5,2,6,2,2,3,unacc
5,2,6,2,3,1,unacc
5,2,6,2,3,2,unacc
5,2,6,2,3,3,unacc
5,2,6,4,1,1,unacc
5,2,6,4,1,2,unacc
5,2,6,4,1,3,acc
5,2,6,4,2,1,unacc
5,2,6,4,2,2,acc
5,2,6,4,2,3,acc
5,2,6,4,3,1,unacc
5,2,6,4,3,2,acc
5,2,6,4,3,3,acc
5,2,6,3,1,1,unacc
5,2,6,3,1,2,unacc
5,2,6,3,1,3,acc
5,2,6,3,2,1,unacc
5,2,6,3,2,2,acc
5,2,6,3,2,3,acc
5,2,6,3,3,1,unacc
5,2,6,3,3,2,acc
5,2,6,3,3,3,acc
5,1,2,2,1,1,unacc
5,1,2,2,1,2,unacc
5,1,2,2,1,3,unacc
5,1,2,2,2,1,unacc
5,1,2,2,2,2,unacc
5,1,2,2,2,3,unacc
5,1,2,2,3,1,unacc
5,1,2,2,3,2,unacc
5,1,2,2,3,3,unacc
5,1,2,4,1,1,unacc
5,1,2,4,1,2,unacc
5,1,2,4,1,3,acc
5,1,2,4,2,1,unacc
5,1,2,4,2,2,unacc
5,1,2,4,2,3,acc
5,1,2,4,3,1,unacc
5,1,2,4,3,2,acc
5,1,2,4,3,3,acc
5,1,2,3,1,1,unacc
5,1,2,3,1,2,unacc
5,1,2,3,1,3,unacc
5,1,2,3,2,1,unacc
5,1,2,3,2,2,unacc
5,1,2,3,2,3,acc
5,1,2,3,3,1,unacc
5,1,2,3,3,2,acc
5,1,2,3,3,3,acc
5,1,3,2,1,1,unacc
5,1,3,2,1,2,unacc
5,1,3,2,1,3,unacc
5,1,3,2,2,1,unacc
5,1,3,2,2,2,unacc
5,1,3,2,2,3,unacc
5,1,3,2,3,1,unacc
5,1,3,2,3,2,unacc
5,1,3,2,3,3,unacc
5,1,3,4,1,1,unacc
5,1,3,4,1,2,unacc
5,1,3,4,1,3,acc
5,1,3,4,2,1,unacc
5,1,3,4,2,2,unacc
5,1,3,4,2,3,acc
5,1,3,4,3,1,unacc
5,1,3,4,3,2,acc
5,1,3,4,3,3,acc
5,1,3,3,1,1,unacc
5,1,3,3,1,2,unacc
5,1,3,3,1,3,acc
5,1,3,3,2,1,unacc
5,1,3,3,2,2,acc
5,1,3,3,2,3,acc
5,1,3,3,3,1,unacc
5,1,3,3,3,2,acc
5,1,3,3,3,3,acc
5,1,4,2,1,1,unacc
5,1,4,2,1,2,unacc
5,1,4,2,1,3,unacc
5,1,4,2,2,1,unacc
5,1,4,2,2,2,unacc
5,1,4,2,2,3,unacc
5,1,4,2,3,1,unacc
5,1,4,2,3,2,unacc
5,1,4,2,3,3,unacc
5,1,4,4,1,1,unacc
5,1,4,4,1,2,unacc
5,1,4,4,1,3,acc
5,1,4,4,2,1,unacc
5,1,4,4,2,2,acc
5,1,4,4,2,3,acc
5,1,4,4,3,1,unacc
5,1,4,4,3,2,acc
5,1,4,4,3,3,acc
5,1,4,3,1,1,unacc
5,1,4,3,1,2,unacc
5,1,4,3,1,3,acc
5,1,4,3,2,1,unacc
5,1,4,3,2,2,acc
5,1,4,3,2,3,acc
5,1,4,3,3,1,unacc
5,1,4,3,3,2,acc
5,1,4,3,3,3,acc
5,1,6,2,1,1,unacc
5,1,6,2,1,2,unacc
5,1,6,2,1,3,unacc
5,1,6,2,2,1,unacc
5,1,6,2,2,2,unacc
5,1,6,2,2,3,unacc
5,1,6,2,3,1,unacc
5,1,6,2,3,2,unacc
5,1,6,2,3,3,unacc
5,1,6,4,1,1,unacc
5,1,6,4,1,2,unacc
5,1,6,4,1,3,acc
5,1,6,4,2,1,unacc
5,1,6,4,2,2,acc
5,1,6,4,2,3,acc
5,1,6,4,3,1,unacc
5,1,6,4,3,2,acc
5,1,6,4,3,3,acc
5,1,6,3,1,1,unacc
5,1,6,3,1,2,unacc
5,1,6,3,1,3,acc
5,1,6,3,2,1,unacc
5,1,6,3,2,2,acc
5,1,6,3,2,3,acc
5,1,6,3,3,1,unacc
5,1,6,3,3,2,acc
5,1,6,3,3,3,acc
4,4,2,2,1,1,unacc
4,4,2,2,1,2,unacc
4,4,2,2,1,3,unacc
4,4,2,2,2,1,unacc
4,4,2,2,2,2,unacc
4,4,2,2,2,3,unacc
4,4,2,2,3,1,unacc
4,4,2,2,3,2,unacc
4,4,2,2,3,3,unacc
4,4,2,4,1,1,unacc
4,4,2,4,1,2,unacc
4,4,2,4,1,3,unacc
4,4,2,4,2,1,unacc
4,4,2,4,2,2,unacc
4,4,2,4,2,3,unacc
4,4,2,4,3,1,unacc
4,4,2,4,3,2,unacc
4,4,2,4,3,3,unacc
4,4,2,3,1,1,unacc
4,4,2,3,1,2,unacc
4,4,2,3,1,3,unacc
4,4,2,3,2,1,unacc
4,4,2,3,2,2,unacc
4,4,2,3,2,3,unacc
4,4,2,3,3,1,unacc
4,4,2,3,3,2,unacc
4,4,2,3,3,3,unacc
4,4,3,2,1,1,unacc
4,4,3,2,1,2,unacc
4,4,3,2,1,3,unacc
4,4,3,2,2,1,unacc
4,4,3,2,2,2,unacc
4,4,3,2,2,3,unacc
4,4,3,2,3,1,unacc
4,4,3,2,3,2,unacc
4,4,3,2,3,3,unacc
4,4,3,4,1,1,unacc
4,4,3,4,1,2,unacc
4,4,3,4,1,3,unacc
4,4,3,4,2,1,unacc
4,4,3,4,2,2,unacc
4,4,3,4,2,3,unacc
4,4,3,4,3,1,unacc
4,4,3,4,3,2,unacc
4,4,3,4,3,3,unacc
4,4,3,3,1,1,unacc
4,4,3,3,1,2,unacc
4,4,3,3,1,3,unacc
4,4,3,3,2,1,unacc
4,4,3,3,2,2,unacc
4,4,3,3,2,3,unacc
4,4,3,3,3,1,unacc
4,4,3,3,3,2,unacc
4,4,3,3,3,3,unacc
4,4,4,2,1,1,unacc
4,4,4,2,1,2,unacc
4,4,4,2,1,3,unacc
4,4,4,2,2,1,unacc
4,4,4,2,2,2,unacc
4,4,4,2,2,3,unacc
4,4,4,2,3,1,unacc
4,4,4,2,3,2,unacc
4,4,4,2,3,3,unacc
4,4,4,4,1,1,unacc
4,4,4,4,1,2,unacc
4,4,4,4,1,3,unacc
4,4,4,4,2,1,unacc
4,4,4,4,2,2,unacc
4,4,4,4,2,3,unacc
4,4,4,4,3,1,unacc
4,4,4,4,3,2,unacc
4,4,4,4,3,3,unacc
4,4,4,3,1,1,unacc
4,4,4,3,1,2,unacc
4,4,4,3,1,3,unacc
4,4,4,3,2,1,unacc
4,4,4,3,2,2,unacc
4,4,4,3,2,3,unacc
4,4,4,3,3,1,unacc
4,4,4,3,3,2,unacc
4,4,4,3,3,3,unacc
4,4,6,2,1,1,unacc
4,4,6,2,1,2,unacc
4,4,6,2,1,3,unacc
4,4,6,2,2,1,unacc
4,4,6,2,2,2,unacc
4,4,6,2,2,3,unacc
4,4,6,2,3,1,unacc
4,4,6,2,3,2,unacc
4,4,6,2,3,3,unacc
4,4,6,4,1,1,unacc
4,4,6,4,1,2,unacc
4,4,6,4,1,3,unacc
4,4,6,4,2,1,unacc
4,4,6,4,2,2,unacc
4,4,6,4,2,3,unacc
4,4,6,4,3,1,unacc
4,4,6,4,3,2,unacc
4,4,6,4,3,3,unacc
4,4,6,3,1,1,unacc
4,4,6,3,1,2,unacc
4,4,6,3,1,3,unacc
4,4,6,3,2,1,unacc
4,4,6,3,2,2,unacc
4,4,6,3,2,3,unacc
4,4,6,3,3,1,unacc
4,4,6,3,3,2,unacc
4,4,6,3,3,3,unacc
4,3,2,2,1,1,unacc
4,3,2,2,1,2,unacc
4,3,2,2,1,3,unacc
4,3,2,2,2,1,unacc
4,3,2,2,2,2,unacc
4,3,2,2,2,3,unacc
4,3,2,2,3,1,unacc
4,3,2,2,3,2,unacc
4,3,2,2,3,3,unacc
4,3,2,4,1,1,unacc
4,3,2,4,1,2,unacc
4,3,2,4,1,3,acc
4,3,2,4,2,1,unacc
4,3,2,4,2,2,unacc
4,3,2,4,2,3,acc
4,3,2,4,3,1,unacc
4,3,2,4,3,2,acc
4,3,2,4,3,3,acc
4,3,2,3,1,1,unacc
4,3,2,3,1,2,unacc
4,3,2,3,1,3,unacc
4,3,2,3,2,1,unacc
4,3,2,3,2,2,unacc
4,3,2,3,2,3,acc
4,3,2,3,3,1,unacc
4,3,2,3,3,2,acc
4,3,2,3,3,3,acc
4,3,3,2,1,1,unacc
4,3,3,2,1,2,unacc
4,3,3,2,1,3,unacc
4,3,3,2,2,1,unacc
4,3,3,2,2,2,unacc
4,3,3,2,2,3,unacc
4,3,3,2,3,1,unacc
4,3,3,2,3,2,unacc
4,3,3,2,3,3,unacc
4,3,3,4,1,1,unacc
4,3,3,4,1,2,unacc
4,3,3,4,1,3,acc
4,3,3,4,2,1,unacc
4,3,3,4,2,2,unacc
4,3,3,4,2,3,acc
4,3,3,4,3,1,unacc
4,3,3,4,3,2,acc
4,3,3,4,3,3,acc
4,3,3,3,1,1,unacc
4,3,3,3,1,2,unacc
4,3,3,3,1,3,acc
4,3,3,3,2,1,unacc
4,3,3,3,2,2,acc
4,3,3,3,2,3,acc
4,3,3,3,3,1,unacc
4,3,3,3,3,2,acc
4,3,3,3,3,3,acc
4,3,4,2,1,1,unacc
4,3,4,2,1,2,unacc
4,3,4,2,1,3,unacc
4,3,4,2,2,1,unacc
4,3,4,2,2,2,unacc
4,3,4,2,2,3,unacc
4,3,4,2,3,1,unacc
4,3,4,2,3,2,unacc
4,3,4,2,3,3,unacc
4,3,4,4,1,1,unacc
4,3,4,4,1,2,unacc
4,3,4,4,1,3,acc
4,3,4,4,2,1,unacc
4,3,4,4,2,2,acc
4,3,4,4,2,3,acc
4,3,4,4,3,1,unacc
4,3,4,4,3,2,acc
4,3,4,4,3,3,acc
4,3,4,3,1,1,unacc
4,3,4,3,1,2,unacc
4,3,4,3,1,3,acc
4,3,4,3,2,1,unacc
4,3,4,3,2,2,acc
4,3,4,3,2,3,acc
4,3,4,3,3,1,unacc
4,3,4,3,3,2,acc
4,3,4,3,3,3,acc
4,3,6,2,1,1,unacc
4,3,6,2,1,2,unacc
4,3,6,2,1,3,unacc
4,3,6,2,2,1,unacc
4,3,6,2,2,2,unacc
4,3,6,2,2,3,unacc
4,3,6,2,3,1,unacc
4,3,6,2,3,2,unacc
4,3,6,2,3,3,unacc
4,3,6,4,1,1,unacc
4,3,6,4,1,2,unacc
4,3,6,4,1,3,acc
4,3,6,4,2,1,unacc
4,3,6,4,2,2,acc
4,3,6,4,2,3,acc
4,3,6,4,3,1,unacc
4,3,6,4,3,2,acc
4,3,6,4,3,3,acc
4,3,6,3,1,1,unacc
4,3,6,3,1,2,unacc
4,3,6,3,1,3,acc
4,3,6,3,2,1,unacc
4,3,6,3,2,2,acc
4,3,6,3,2,3,acc
4,3,6,3,3,1,unacc
4,3,6,3,3,2,acc
4,3,6,3,3,3,acc
4,2,2,2,1,1,unacc
4,2,2,2,1,2,unacc
4,2,2,2,1,3,unacc
4,2,2,2,2,1,unacc
4,2,2,2,2,2,unacc
4,2,2,2,2,3,unacc
4,2,2,2,3,1,unacc
4,2,2,2,3,2,unacc
4,2,2,2,3,3,unacc
4,2,2,4,1,1,unacc
4,2,2,4,1,2,unacc
4,2,2,4,1,3,acc
4,2,2,4,2,1,unacc
4,2,2,4,2,2,unacc
4,2,2,4,2,3,acc
4,2,2,4,3,1,unacc
4,2,2,4,3,2,acc
4,2,2,4,3,3,acc
4,2,2,3,1,1,unacc
4,2,2,3,1,2,unacc
4,2,2,3,1,3,unacc
4,2,2,3,2,1,unacc
4,2,2,3,2,2,unacc
4,2,2,3,2,3,acc
4,2,2,3,3,1,unacc
4,2,2,3,3,2,acc
4,2,2,3,3,3,acc
4,2,3,2,1,1,unacc
4,2,3,2,1,2,unacc
4,2,3,2,1,3,unacc
4,2,3,2,2,1,unacc
4,2,3,2,2,2,unacc
4,2,3,2,2,3,unacc
4,2,3,2,3,1,unacc
4,2,3,2,3,2,unacc
4,2,3,2,3,3,unacc
4,2,3,4,1,1,unacc
4,2,3,4,1,2,unacc
4,2,3,4,1,3,acc
4,2,3,4,2,1,unacc
4,2,3,4,2,2,unacc
4,2,3,4,2,3,acc
4,2,3,4,3,1,unacc
4,2,3,4,3,2,acc
4,2,3,4,3,3,acc
4,2,3,3,1,1,unacc
4,2,3,3,1,2,unacc
4,2,3,3,1,3,acc
4,2,3,3,2,1,unacc
4,2,3,3,2,2,acc
4,2,3,3,2,3,acc
4,2,3,3,3,1,unacc
4,2,3,3,3,2,acc
4,2,3,3,3,3,acc
4,2,4,2,1,1,unacc
4,2,4,2,1,2,unacc
4,2,4,2,1,3,unacc
4,2,4,2,2,1,unacc
4,2,4,2,2,2,unacc
4,2,4,2,2,3,unacc
4,2,4,2,3,1,unacc
4,2,4,2,3,2,unacc
4,2,4,2,3,3,unacc
4,2,4,4,1,1,unacc
4,2,4,4,1,2,unacc
4,2,4,4,1,3,acc
4,2,4,4,2,1,unacc
4,2,4,4,2,2,acc
4,2,4,4,2,3,acc
4,2,4,4,3,1,unacc
4,2,4,4,3,2,acc
4,2,4,4,3,3,acc
4,2,4,3,1,1,unacc
4,2,4,3,1,2,unacc
4,2,4,3,1,3,acc
4,2,4,3,2,1,unacc
4,2,4,3,2,2,acc
4,2,4,3,2,3,acc
4,2,4,3,3,1,unacc
4,2,4,3,3,2,acc
4,2,4,3,3,3,acc
4,2,6,2,1,1,unacc
4,2,6,2,1,2,unacc
4,2,6,2,1,3,unacc
4,2,6,2,2,1,unacc
4,2,6,2,2,2,unacc
4,2,6,2,2,3,unacc
4,2,6,2,3,1,unacc
4,2,6,2,3,2,unacc
4,2,6,2,3,3,unacc
4,2,6,4,1,1,unacc
4,2,6,4,1,2,unacc
4,2,6,4,1,3,acc
4,2,6,4,2,1,unacc
4,2,6,4,2,2,acc
4,2,6,4,2,3,acc
4,2,6,4,3,1,unacc
4,2,6,4,3,2,acc
4,2,6,4,3,3,acc
4,2,6,3,1,1,unacc
4,2,6,3,1,2,unacc
4,2,6,3,1,3,acc
4,2,6,3,2,1,unacc
4,2,6,3,2,2,acc
4,2,6,3,2,3,acc
4,2,6,3,3,1,unacc
4,2,6,3,3,2,acc
4,2,6,3,3,3,acc
4,1,2,2,1,1,unacc
4,1,2,2,1,2,unacc
4,1,2,2,1,3,unacc
4,1,2,2,2,1,unacc
4,1,2,2,2,2,unacc
4,1,2,2,2,3,unacc
4,1,2,2,3,1,unacc
4,1,2,2,3,2,unacc
4,1,2,2,3,3,unacc
4,1,2,4,1,1,unacc
4,1,2,4,1,2,unacc
4,1,2,4,1,3,acc
4,1,2,4,2,1,unacc
4,1,2,4,2,2,unacc
4,1,2,4,2,3,acc
4,1,2,4,3,1,unacc
4,1,2,4,3,2,acc
4,1,2,4,3,3,acc
4,1,2,3,1,1,unacc
4,1,2,3,1,2,unacc
4,1,2,3,1,3,unacc
4,1,2,3,2,1,unacc
4,1,2,3,2,2,unacc
4,1,2,3,2,3,acc
4,1,2,3,3,1,unacc
4,1,2,3,3,2,acc
4,1,2,3,3,3,acc
4,1,3,2,1,1,unacc
4,1,3,2,1,2,unacc
4,1,3,2,1,3,unacc
4,1,3,2,2,1,unacc
4,1,3,2,2,2,unacc
4,1,3,2,2,3,unacc
4,1,3,2,3,1,unacc
4,1,3,2,3,2,unacc
4,1,3,2,3,3,unacc
4,1,3,4,1,1,unacc
4,1,3,4,1,2,unacc
4,1,3,4,1,3,acc
4,1,3,4,2,1,unacc
4,1,3,4,2,2,unacc
4,1,3,4,2,3,acc
4,1,3,4,3,1,unacc
4,1,3,4,3,2,acc
4,1,3,4,3,3,acc
4,1,3,3,1,1,unacc
4,1,3,3,1,2,unacc
4,1,3,3,1,3,acc
4,1,3,3,2,1,unacc
4,1,3,3,2,2,acc
4,1,3,3,2,3,acc
4,1,3,3,3,1,unacc
4,1,3,3,3,2,acc
4,1,3,3,3,3,acc
4,1,4,2,1,1,unacc
4,1,4,2,1,2,unacc
4,1,4,2,1,3,unacc
4,1,4,2,2,1,unacc
4,1,4,2,2,2,unacc
4,1,4,2,2,3,unacc
4,1,4,2,3,1,unacc
4,1,4,2,3,2,unacc
4,1,4,2,3,3,unacc
4,1,4,4,1,1,unacc
4,1,4,4,1,2,unacc
4,1,4,4,1,3,acc
4,1,4,4,2,1,unacc
4,1,4,4,2,2,acc
4,1,4,4,2,3,acc
4,1,4,4,3,1,unacc
4,1,4,4,3,2,acc
4,1,4,4,3,3,acc
4,1,4,3,1,1,unacc
4,1,4,3,1,2,unacc
4,1,4,3,1,3,acc
4,1,4,3,2,1,unacc
4,1,4,3,2,2,acc
4,1,4,3,2,3,acc
4,1,4,3,3,1,unacc
4,1,4,3,3,2,acc
4,1,4,3,3,3,acc
4,1,6,2,1,1,unacc
4,1,6,2,1,2,unacc
4,1,6,2,1,3,unacc
4,1,6,2,2,1,unacc
4,1,6,2,2,2,unacc
4,1,6,2,2,3,unacc
4,1,6,2,3,1,unacc
4,1,6,2,3,2,unacc
4,1,6,2,3,3,unacc
4,1,6,4,1,1,unacc
4,1,6,4,1,2,unacc
4,1,6,4,1,3,acc
4,1,6,4,2,1,unacc
4,1,6,4,2,2,acc
4,1,6,4,2,3,acc
4,1,6,4,3,1,unacc
4,1,6,4,3,2,acc
4,1,6,4,3,3,acc
4,1,6,3,1,1,unacc
4,1,6,3,1,2,unacc
4,1,6,3,1,3,acc
4,1,6,3,2,1,unacc
4,1,6,3,2,2,acc
4,1,6,3,2,3,acc
4,1,6,3,3,1,unacc
4,1,6,3,3,2,acc
4,1,6,3,3,3,acc
3,4,2,2,1,1,unacc
3,4,2,2,1,2,unacc
3,4,2,2,1,3,unacc
3,4,2,2,2,1,unacc
3,4,2,2,2,2,unacc
3,4,2,2,2,3,unacc
3,4,2,2,3,1,unacc
3,4,2,2,3,2,unacc
3,4,2,2,3,3,unacc
3,4,2,4,1,1,unacc
3,4,2,4,1,2,unacc
3,4,2,4,1,3,acc
3,4,2,4,2,1,unacc
3,4,2,4,2,2,unacc
3,4,2,4,2,3,acc
3,4,2,4,3,1,unacc
3,4,2,4,3,2,acc
3,4,2,4,3,3,acc
3,4,2,3,1,1,unacc
